scenario,method,seed,success,planning_time,first_solution_iteration,node_count,path_length
hybrid_staggered_trees,Hybrid,6,1,1.0546491146087646,61,118,130.58126458688125
hybrid_staggered_trees,RRT*,7,1,2.283487319946289,164,225,142.7283443852306
hybrid_staggered_trees,GoalBias,7,1,1.102491855621338,71,114,146.11599953028227
hybrid_staggered_trees,Hybrid,7,1,1.4623332023620605,102,137,140.14998310211402
hybrid_staggered_trees,RRT*,8,1,2.1321911811828613,136,217,144.5092528724255
hybrid_staggered_trees,GoalBias,8,1,1.4378769397735596,93,150,143.7234859038564
hybrid_staggered_trees,Hybrid,8,1,2.7868547439575195,168,201,178.8447692829768
hybrid_staggered_trees,RRT*,9,1,4.637883186340332,371,434,117.31537041794469
hybrid_staggered_trees,GoalBias,9,1,1.2132411003112793,99,149,139.11988341037497
hybrid_staggered_trees,Hybrid,9,1,0.7943732738494873,61,94,141.77411886144677
hybrid_staggered_trees,RRT*,10,1,1.2526772022247314,51,156,126.0378662898501
hybrid_staggered_trees,GoalBias,10,1,2.5571279525756836,180,214,168.14430911633053
hybrid_staggered_trees,Hybrid,10,1,0.9368159770965576,58,104,155.62576213797198
hybrid_staggered_trees,RRT*,11,1,4.1206748485565186,309,399,146.25952993686718
hybrid_staggered_trees,GoalBias,11,1,1.353428840637207,77,153,156.07492649411176
hybrid_staggered_trees,Hybrid,11,1,0.8988080024719238,73,117,119.0690218157689
hybrid_staggered_trees,RRT*,12,1,2.1172916889190674,179,235,121.74589739746362
hybrid_staggered_trees,GoalBias,12,1,1.5024559497833252,64,142,153.76030025238143
hybrid_staggered_trees,Hybrid,12,1,0.8220927715301514,52,99,151.6579887901435
hybrid_staggered_trees,RRT*,13,1,4.87495493888855,403,459,148.10971706203878
hybrid_staggered_trees,GoalBias,13,1,1.3504388332366943,91,163,124.78082211883635
hybrid_staggered_trees,Hybrid,13,1,0.6426088809967041,51,97,136.54282737016345
hybrid_staggered_trees,RRT*,14,1,5.851323127746582,371,432,121.85971784728355
hybrid_staggered_trees,GoalBias,14,1,1.2991418838500977,58,135,141.3885409023789
hybrid_staggered_trees,Hybrid,14,1,2.92154598236084,127,160,114.0146172048654
hybrid_staggered_trees,RRT*,15,1,2.5358028411865234,197,211,156.6666189014144
hybrid_staggered_trees,GoalBias,15,1,1.3788630962371826,92,155,115.32709649903421
hybrid_staggered_trees,Hybrid,15,1,1.6520237922668457,141,134,161.6169268527941
hybrid_staggered_trees,RRT*,16,1,4.151046276092529,314,378,145.98463577670145
hybrid_staggered_trees,GoalBias,16,1,1.14597487449646,87,134,156.11440940405814
hybrid_staggered_trees,Hybrid,16,1,1.302112102508545,153,137,123.17326613986296
hybrid_staggered_trees,RRT*,17,1,3.6514077186584473,220,308,167.8898201047254
hybrid_staggered_trees,GoalBias,17,1,1.166001796722412,72,143,162.30774895765146
hybrid_staggered_trees,Hybrid,17,1,0.651268720626831,63,89,121.27889949170768
hybrid_staggered_trees,RRT*,18,1,3.5595641136169434,286,369,197.1781727540438
hybrid_staggered_trees,GoalBias,18,1,1.7082970142364502,177,207,119.14484098017181
hybrid_staggered_trees,Hybrid,18,1,1.2360081672668457,155,116,109.54813778002878
hybrid_staggered_trees,RRT*,19,1,2.3947031497955322,115,207,149.62693649514318
hybrid_staggered_trees,GoalBias,19,1,1.353003978729248,100,175,130.4715594701758
hybrid_staggered_trees,Hybrid,19,1,1.676424264907837,128,152,135.60025411821505
hybrid_staggered_trees,RRT*,20,1,5.478347063064575,460,481,188.94926191952524
hybrid_staggered_trees,GoalBias,20,1,1.1326510906219482,90,146,119.72176240430436
hybrid_staggered_trees,Hybrid,20,1,0.6526594161987305,55,93,139.95174635404808
hybrid_staggered_trees,RRT*,21,1,4.860738039016724,368,433,152.85506570912113
hybrid_staggered_trees,GoalBias,21,1,1.3148648738861084,104,151,120.63575675003914
hybrid_staggered_trees,Hybrid,21,1,1.7549970149993896,126,152,158.141576751064
hybrid_staggered_trees,RRT*,22,1,2.679713010787964,180,270,168.85708070703092
hybrid_staggered_trees,GoalBias,22,1,16.897974014282227,584,582,131.68862337968497
hybrid_staggered_trees,Hybrid,22,1,0.5574312210083008,55,85,131.78803813735388
hybrid_staggered_trees,RRT*,23,1,2.354842185974121,177,246,144.50383913275462
hybrid_staggered_trees,GoalBias,23,1,18.888692378997803,637,679,119.17624881985378
hybrid_staggered_trees,Hybrid,23,1,0.6898221969604492,39,91,142.8230094588918
hybrid_staggered_trees,RRT*,24,1,2.756507158279419,207,305,137.52313570612708
hybrid_staggered_trees,GoalBias,24,1,1.6177949905395508,191,176,118.91355211051727
hybrid_staggered_trees,Hybrid,24,1,0.8637418746948242,76,102,109.91660470213615
hybrid_staggered_trees,RRT*,25,1,2.0686259269714355,140,235,143.34273731031476
hybrid_staggered_trees,GoalBias,25,1,1.3490378856658936,105,148,144.8348415673274
hybrid_staggered_trees,Hybrid,25,1,0.6728372573852539,38,95,121.08840928391332
hybrid_staggered_trees,RRT*,26,1,3.5955960750579834,310,369,156.33572261723288
hybrid_staggered_trees,GoalBias,26,1,1.1773779392242432,84,148,165.1999066244116
hybrid_staggered_trees,Hybrid,26,1,0.8016362190246582,91,107,129.37911488187038
hybrid_staggered_trees,RRT*,27,1,2.5924692153930664,170,257,150.02321806424973
hybrid_staggered_trees,GoalBias,27,1,2.7122271060943604,155,234,168.42184258396438
hybrid_staggered_trees,Hybrid,27,1,0.879260778427124,64,92,130.47130013132664
hybrid_staggered_trees,RRT*,28,1,5.194380044937134,415,445,92.87506598367737
hybrid_staggered_trees,GoalBias,28,1,11.085495948791504,832,800,165.9959392185042
hybrid_staggered_trees,Hybrid,28,1,0.8822720050811768,68,114,112.39385677135712
hybrid_staggered_trees,RRT*,29,1,2.0611112117767334,159,227,141.2905854032276
hybrid_staggered_trees,GoalBias,29,1,2.0859620571136475,165,221,163.90532436419053
hybrid_staggered_trees,Hybrid,29,1,1.061230182647705,90,127,124.137566161967
hybrid_row_corridor,RRT*,0,1,4.110985994338989,229,258,124.68067733667424
hybrid_row_corridor,GoalBias,0,1,1.8424270153045654,131,129,141.57025750851986
hybrid_row_corridor,Hybrid,0,1,0.8105330467224121,51,67,124.64094459081254
hybrid_row_corridor,RRT*,1,1,22.071330785751343,1072,986,175.40754184867808
hybrid_row_corridor,GoalBias,1,1,1.4106721878051758,42,92,141.75834743189975
hybrid_row_corridor,Hybrid,1,1,1.1055402755737305,36,70,105.9704738106877
hybrid_row_corridor,RRT*,2,1,14.03550410270691,772,680,159.6719091666644
hybrid_row_corridor,GoalBias,2,1,1.6428368091583252,54,116,115.54460541910761
hybrid_row_corridor,Hybrid,2,1,1.9712281227111816,71,118,124.3000764499953
hybrid_row_corridor,RRT*,3,1,5.180179119110107,335,307,121.35922524589607
hybrid_row_corridor,GoalBias,3,1,1.417754888534546,52,100,122.48770220346984
hybrid_row_corridor,Hybrid,3,1,6.223237037658691,557,300,147.22970367756008
hybrid_row_corridor,RRT*,4,1,7.219454765319824,364,309,151.518388086045
hybrid_row_corridor,GoalBias,4,1,2.422611951828003,187,153,121.59806054576046
hybrid_row_corridor,Hybrid,4,1,1.8712260723114014,64,123,144.25859775782666
hybrid_row_corridor,RRT*,5,1,2.8928709030151367,156,200,129.52576304933993
hybrid_row_corridor,GoalBias,5,1,3.102526903152466,230,209,178.42694975298272
hybrid_row_corridor,Hybrid,5,1,1.248103141784668,91,82,142.29440446328346
hybrid_row_corridor,RRT*,6,1,9.759760856628418,589,572,167.89769873657247
hybrid_row_corridor,GoalBias,6,1,1.7048251628875732,47,109,110.6521483350493
hybrid_row_corridor,Hybrid,6,1,1.0233418941497803,34,67,129.39032240468063
hybrid_row_corridor,RRT*,7,1,15.232424974441528,810,774,198.76810684348345
hybrid_row_corridor,GoalBias,7,1,62.89616584777832,1340,1258,119.33793575291745
hybrid_row_corridor,Hybrid,7,1,17.973371982574463,320,358,170.79630093206478
hybrid_row_corridor,RRT*,8,1,4.873406171798706,370,308,178.9499437856644
hybrid_row_corridor,GoalBias,8,1,1.356738805770874,54,89,146.98256433569765
hybrid_row_corridor,Hybrid,8,1,0.9541499614715576,31,68,102.8929881719146
hybrid_row_corridor,RRT*,9,1,6.753165006637573,369,422,122.2786346827256
hybrid_row_corridor,GoalBias,9,1,1.367103099822998,57,106,155.46637438035197
hybrid_row_corridor,Hybrid,9,1,17.824542999267578,748,567,142.86702053024962
hybrid_row_corridor,RRT*,10,1,6.652306318283081,405,427,139.52936701644344
hybrid_row_corridor,GoalBias,10,1,2.4504029750823975,138,132,115.2461780339361
hybrid_row_corridor,Hybrid,10,1,3.5001821517944336,240,126,113.56168325474364
