pair_id,start_index,goal_index,seed,config_name,success,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,planning_time,path_length,num_nodes,first_solution_iter,num_path_points,error
13,1,3,669067490,GoalBias+Tangent,True,7.070291499405662,7.31408807042184,0.7423778477730707,28.33769613415263,26.826067642436417,0.7423778477730707,0.25911208300385624,43.798867660910204,80,108,534,
14,1,4,467867512,Baseline,True,7.070291499405662,7.31408807042184,0.7013020950835367,25.79721209379483,23.129285095962924,0.7013020950835367,0.6945939590223134,42.954247082813154,183,41,509,
14,1,4,467867512,GoalBias,True,7.070291499405662,7.31408807042184,0.7013020950835367,25.79721209379483,23.129285095962924,0.7013020950835367,0.21050520800054073,30.23023473290641,56,105,384,
14,1,4,467867512,GoalBias+Tangent,True,7.070291499405662,7.31408807042184,0.7013020950835367,25.79721209379483,23.129285095962924,0.7013020950835367,0.30421600001864135,27.111951703026957,104,86,331,
15,1,5,1446613242,Baseline,True,7.070291499405662,7.31408807042184,0.7040108938122325,29.58524851460567,26.433070902339733,0.7040108938122325,0.7147306660190225,38.74177648684622,209,82,478,
15,1,5,1446613242,GoalBias,True,7.070291499405662,7.31408807042184,0.7040108938122325,29.58524851460567,26.433070902339733,0.7040108938122325,6.470848958007991,35.53618377054615,261,273,442,
15,1,5,1446613242,GoalBias+Tangent,True,7.070291499405662,7.31408807042184,0.7040108938122325,29.58524851460567,26.433070902339733,0.7040108938122325,0.3236282500438392,48.01807007091746,91,168,609,
16,1,6,959880882,Baseline,True,7.070291499405662,7.31408807042184,0.5052385177921321,42.829982474122566,27.093631695563825,0.5052385177921321,2.3726590409642085,51.488329145819996,432,500,606,
16,1,6,959880882,GoalBias,True,7.070291499405662,7.31408807042184,0.5052385177921321,42.829982474122566,27.093631695563825,0.5052385177921321,0.4761713750194758,59.2268871038743,282,232,728,
16,1,6,959880882,GoalBias+Tangent,True,7.070291499405662,7.31408807042184,0.5052385177921321,42.829982474122566,27.093631695563825,0.5052385177921321,0.2790663340128958,53.49058016060637,82,127,681,
17,1,7,2099236712,Baseline,True,7.070291499405662,7.31408807042184,0.829751469327606,22.66510658510346,24.357464868132716,0.829751469327606,0.8013544589048252,36.93524144228836,210,84,453,
17,1,7,2099236712,GoalBias,True,7.070291499405662,7.31408807042184,0.829751469327606,22.66510658510346,24.357464868132716,0.829751469327606,1.143119415966794,25.923326501091395,264,24,330,
17,1,7,2099236712,GoalBias+Tangent,True,7.070291499405662,7.31408807042184,0.829751469327606,22.66510658510346,24.357464868132716,0.829751469327606,0.35286054108291864,26.45372123539732,100,109,336,
18,1,8,3422678,Baseline,True,7.070291499405662,7.31408807042184,0.5021232162014493,32.29498145791376,21.164021366355975,0.5021232162014493,1.5654246249468997,39.17132267419827,305,306,465,
18,1,8,3422678,GoalBias,True,7.070291499405662,7.31408807042184,0.5021232162014493,32.29498145791376,21.164021366355975,0.5021232162014493,0.7151720830006525,45.961760718800974,145,291,556,
18,1,8,3422678,GoalBias+Tangent,True,7.070291499405662,7.31408807042184,0.5021232162014493,32.29498145791376,21.164021366355975,0.5021232162014493,0.4303583330474794,49.43171653718847,120,223,620,
19,1,9,26165065,Baseline,True,7.070291499405662,7.31408807042184,0.46920544501655215,35.63540730704127,21.795651329658106,0.46920544501655215,1.5242935420246795,39.810620172610115,315,279,490,
19,1,9,26165065,GoalBias,True,7.070291499405662,7.31408807042184,0.46920544501655215,35.63540730704127,21.795651329658106,0.46920544501655215,0.7458367079962045,46.84974744326465,294,202,596,
19,1,9,26165065,GoalBias+Tangent,True,7.070291499405662,7.31408807042184,0.46920544501655215,35.63540730704127,21.795651329658106,0.46920544501655215,0.6240441249683499,56.81746747951313,145,383,671,
20,2,0,153702124,Baseline,True,9.402165688583784,6.377218545085918,0.47577723364301505,43.536932303325806,23.965337940458376,0.47577723364301505,1.183915540925227,53.30122814662639,276,252,660,
20,2,0,153702124,GoalBias,True,9.402165688583784,6.377218545085918,0.47577723364301505,43.536932303325806,23.965337940458376,0.47577723364301505,0.8198992079123855,67.95247875375931,192,547,844,
20,2,0,153702124,GoalBias+Tangent,True,9.402165688583784,6.377218545085918,0.47577723364301505,43.536932303325806,23.965337940458376,0.47577723364301505,0.4350351250031963,56.94603590047604,125,160,688,
21,2,1,1146269307,Baseline,True,9.402165688583784,6.377218545085918,0.6654503781344361,36.52479356325202,27.66510336305589,0.6654503781344361,1.4188499170122668,48.333943076857146,293,234,575,
21,2,1,1146269307,GoalBias,True,9.402165688583784,6.377218545085918,0.6654503781344361,36.52479356325202,27.66510336305589,0.6654503781344361,0.29002312500961125,50.838984663625375,91,135,625,
21,2,1,1146269307,GoalBias+Tangent,True,9.402165688583784,6.377218545085918,0.6654503781344361,36.52479356325202,27.66510336305589,0.6654503781344361,0.4687041670549661,49.573428365596726,119,208,620,
22,2,2,544807239,Baseline,True,9.402165688583784,6.377218545085918,0.6985637487613778,27.049089991906214,21.197743441899785,0.6985637487613778,1.075604374986142,33.236416798099164,270,168,414,
22,2,2,544807239,GoalBias,True,9.402165688583784,6.377218545085918,0.6985637487613778,27.049089991906214,21.197743441899785,0.6985637487613778,1.4417900829575956,37.23887673822912,255,40,443,
22,2,2,544807239,GoalBias+Tangent,True,9.402165688583784,6.377218545085918,0.6985637487613778,27.049089991906214,21.197743441899785,0.6985637487613778,1.4116099160164595,40.19945327244886,293,239,504,
23,2,3,1595731976,Baseline,True,9.402165688583784,6.377218545085918,0.823803606339542,28.33769613415263,26.826067642436417,0.823803606339542,0.7943201248999685,35.59028642029075,200,121,444,
23,2,3,1595731976,GoalBias,True,9.402165688583784,6.377218545085918,0.823803606339542,28.33769613415263,26.826067642436417,0.823803606339542,0.5596015420742333,43.64492186344734,117,174,544,
23,2,3,1595731976,GoalBias+Tangent,True,9.402165688583784,6.377218545085918,0.823803606339542,28.33769613415263,26.826067642436417,0.823803606339542,0.5135577080072835,47.42157426536963,131,182,603,
24,2,4,1230620690,Baseline,True,9.402165688583784,6.377218545085918,0.7961685234337867,25.79721209379483,23.129285095962924,0.7961685234337867,0.704377208952792,39.050683099184,188,63,490,
24,2,4,1230620690,GoalBias,True,9.402165688583784,6.377218545085918,0.7961685234337867,25.79721209379483,23.129285095962924,0.7961685234337867,0.33954508299939334,36.799036962019024,76,150,468,
24,2,4,1230620690,GoalBias+Tangent,True,9.402165688583784,6.377218545085918,0.7961685234337867,25.79721209379483,23.129285095962924,0.7961685234337867,0.33396737498696893,45.51435098322269,98,83,577,
25,2,5,1992624797,Baseline,True,9.402165688583784,6.377218545085918,0.7822362992925047,29.58524851460567,26.433070902339733,0.7822362992925047,0.8767493750201538,37.77735375171408,211,85,481,
25,2,5,1992624797,GoalBias,True,9.402165688583784,6.377218545085918,0.7822362992925047,29.58524851460567,26.433070902339733,0.7822362992925047,8.597875333041884,46.21347225879088,298,253,565,
25,2,5,1992624797,GoalBias+Tangent,True,9.402165688583784,6.377218545085918,0.7822362992925047,29.58524851460567,26.433070902339733,0.7822362992925047,0.4549946249462664,42.6801544395084,119,205,546,
26,2,6,1235416567,Baseline,True,9.402165688583784,6.377218545085918,0.5548048287866161,42.829982474122566,27.093631695563825,0.5548048287866161,1.3199232910992578,58.644936881684714,278,245,667,
26,2,6,1235416567,GoalBias,True,9.402165688583784,6.377218545085918,0.5548048287866161,42.829982474122566,27.093631695563825,0.5548048287866161,4.592263041995466,60.67018866132059,252,542,763,
26,2,6,1235416567,GoalBias+Tangent,True,9.402165688583784,6.377218545085918,0.5548048287866161,42.829982474122566,27.093631695563825,0.5548048287866161,0.48796008294448256,53.714185683343494,100,348,657,
27,2,7,1787228049,Baseline,True,9.402165688583784,6.377218545085918,0.9352529491454646,22.66510658510346,24.357464868132716,0.9352529491454646,0.7926776249660179,24.80061561381522,213,78,317,
27,2,7,1787228049,GoalBias,True,9.402165688583784,6.377218545085918,0.9352529491454646,22.66510658510346,24.357464868132716,0.9352529491454646,1.3659902500221506,26.51500385637493,285,53,339,
27,2,7,1787228049,GoalBias+Tangent,True,9.402165688583784,6.377218545085918,0.9352529491454646,22.66510658510346,24.357464868132716,0.9352529491454646,0.5708092499990016,40.606170640586086,142,359,515,
28,2,8,1783025184,Baseline,True,9.402165688583784,6.377218545085918,0.5734978366690906,32.29498145791376,21.164021366355975,0.5734978366690906,0.9466826670104638,54.15527231609707,219,145,666,
