场景,地图,pair索引,配置,成功次数,成功率(%),平均路径长度(m),路径长度std,平均规划时间(s),规划时间std,平均节点数,平均迭代数
density_low,map_0002_seed_7002187067904103436,5,GoalBias,50,100.0,35.95,4.47,0.328,0.131,249,22
density_low,map_0002_seed_7002187067904103436,5,GoalBias+Tangent,50,100.0,42.00,4.78,0.278,0.034,254,22
density_low,map_0002_seed_7002187067904103436,6,Baseline,50,100.0,41.11,4.85,0.333,0.030,280,39
density_low,map_0002_seed_7002187067904103436,6,GoalBias,50,100.0,39.46,4.21,0.329,0.093,251,28
density_low,map_0002_seed_7002187067904103436,6,GoalBias+Tangent,50,100.0,44.25,4.90,0.271,0.033,251,28
density_low,map_0002_seed_7002187067904103436,7,Baseline,50,100.0,31.55,5.52,0.331,0.030,278,33
density_low,map_0002_seed_7002187067904103436,7,GoalBias,50,100.0,30.45,4.73,0.315,0.125,243,25
density_low,map_0002_seed_7002187067904103436,7,GoalBias+Tangent,50,100.0,34.96,5.00,0.278,0.035,253,25
density_low,map_0002_seed_7002187067904103436,8,Baseline,50,100.0,34.78,6.04,0.327,0.035,281,39
density_low,map_0002_seed_7002187067904103436,8,GoalBias,50,100.0,32.49,5.15,0.341,0.092,258,32
density_low,map_0002_seed_7002187067904103436,8,GoalBias+Tangent,50,100.0,37.59,5.63,0.277,0.037,255,32
density_low,map_0002_seed_7002187067904103436,9,Baseline,50,100.0,40.41,6.14,0.336,0.029,285,41
density_low,map_0002_seed_7002187067904103436,9,GoalBias,50,100.0,38.56,3.95,0.343,0.146,247,29
density_low,map_0002_seed_7002187067904103436,9,GoalBias+Tangent,50,100.0,44.43,5.11,0.286,0.032,258,29
density_medium,map_0000_seed_2312883878506865772,0,Baseline,50,100.0,37.61,4.96,0.464,0.048,239,50
density_medium,map_0000_seed_2312883878506865772,0,GoalBias,50,100.0,35.28,3.92,0.549,0.236,217,22
density_medium,map_0000_seed_2312883878506865772,0,GoalBias+Tangent,50,100.0,40.75,3.76,0.364,0.050,207,22
density_medium,map_0000_seed_2312883878506865772,1,Baseline,50,100.0,33.12,5.03,0.450,0.060,236,40
density_medium,map_0000_seed_2312883878506865772,1,GoalBias,50,100.0,31.82,3.23,0.514,0.183,218,22
density_medium,map_0000_seed_2312883878506865772,1,GoalBias+Tangent,50,100.0,35.92,3.87,0.358,0.045,203,22
density_medium,map_0000_seed_2312883878506865772,2,Baseline,50,100.0,32.01,4.66,0.458,0.052,236,44
density_medium,map_0000_seed_2312883878506865772,2,GoalBias,50,100.0,31.53,3.43,0.443,0.175,204,21
density_medium,map_0000_seed_2312883878506865772,2,GoalBias+Tangent,50,100.0,35.43,3.60,0.345,0.043,203,21
density_medium,map_0000_seed_2312883878506865772,3,Baseline,50,100.0,35.38,5.72,0.430,0.048,228,31
density_medium,map_0000_seed_2312883878506865772,3,GoalBias,50,100.0,32.27,4.61,1.019,1.035,209,18
density_medium,map_0000_seed_2312883878506865772,3,GoalBias+Tangent,50,100.0,38.17,5.02,0.435,0.133,214,18
density_medium,map_0000_seed_2312883878506865772,4,Baseline,50,100.0,36.76,4.47,0.593,0.140,280,104
density_medium,map_0000_seed_2312883878506865772,4,GoalBias,50,100.0,36.14,4.75,0.526,0.175,243,90
density_medium,map_0000_seed_2312883878506865772,4,GoalBias+Tangent,50,100.0,40.89,5.06,0.451,0.091,240,91
density_medium,map_0000_seed_2312883878506865772,5,Baseline,50,100.0,32.57,4.86,0.479,0.052,246,58
density_medium,map_0000_seed_2312883878506865772,5,GoalBias,50,100.0,30.79,3.82,0.501,0.220,213,33
density_medium,map_0000_seed_2312883878506865772,5,GoalBias+Tangent,50,100.0,35.24,4.27,0.346,0.046,204,33
density_medium,map_0000_seed_2312883878506865772,6,Baseline,50,100.0,41.44,5.56,0.449,0.051,235,44
density_medium,map_0000_seed_2312883878506865772,6,GoalBias,50,100.0,39.59,4.17,0.515,0.235,213,34
density_medium,map_0000_seed_2312883878506865772,6,GoalBias+Tangent,50,100.0,44.05,4.54,0.409,0.058,215,34
density_medium,map_0000_seed_2312883878506865772,7,Baseline,50,100.0,39.70,5.33,0.594,0.137,279,102
density_medium,map_0000_seed_2312883878506865772,7,GoalBias,50,100.0,39.31,4.07,0.563,0.196,254,96
density_medium,map_0000_seed_2312883878506865772,7,GoalBias+Tangent,50,100.0,44.12,5.06,0.470,0.105,248,99
density_medium,map_0000_seed_2312883878506865772,8,Baseline,50,100.0,48.06,4.05,0.493,0.061,255,70
density_medium,map_0000_seed_2312883878506865772,8,GoalBias,50,100.0,47.31,4.15,0.514,0.213,221,45
density_medium,map_0000_seed_2312883878506865772,8,GoalBias+Tangent,50,100.0,52.30,4.93,0.367,0.048,212,45
density_medium,map_0000_seed_2312883878506865772,9,Baseline,50,100.0,45.25,12.04,0.580,0.161,277,106
density_medium,map_0000_seed_2312883878506865772,9,GoalBias,50,100.0,39.95,11.06,0.526,0.176,249,102
density_medium,map_0000_seed_2312883878506865772,9,GoalBias+Tangent,50,100.0,46.41,11.32,0.464,0.150,248,113
density_medium,map_0001_seed_7898237777006799159,0,Baseline,50,100.0,28.53,6.08,0.386,0.038,212,18
density_medium,map_0001_seed_7898237777006799159,0,GoalBias,50,100.0,28.42,5.29,0.382,0.121,198,12
density_medium,map_0001_seed_7898237777006799159,0,GoalBias+Tangent,50,100.0,33.85,5.69,0.311,0.033,186,12
density_medium,map_0001_seed_7898237777006799159,1,Baseline,50,100.0,45.51,5.56,0.502,0.073,248,79
density_medium,map_0001_seed_7898237777006799159,1,GoalBias,50,100.0,43.24,5.08,0.506,0.179,225,48
density_medium,map_0001_seed_7898237777006799159,1,GoalBias+Tangent,50,100.0,48.57,6.81,0.383,0.067,211,48
density_medium,map_0001_seed_7898237777006799159,2,Baseline,50,100.0,41.51,5.49,0.543,0.086,260,89
density_medium,map_0001_seed_7898237777006799159,2,GoalBias,50,100.0,40.48,5.45,0.584,0.216,234,61
