safety_margin,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
0.0,1,6,Hybrid,1,2.363116979598999,105,93,120.88756491909473
0.0,1,3,GoalBias,1,35.23439288139343,973,619,153.83535675505266
0.0,1,6,GoalBias,1,3.704824686050415,56,110,136.64189690479287
0.0,1,7,GoalBias,1,3.4410157203674316,47,114,145.04200530999884
0.0,1,7,Hybrid,1,4.039624929428101,184,89,90.29779424749242
0.0,1,7,RRT*,1,6.415723085403442,185,191,156.7134737344203
0.0,1,8,Hybrid,1,2.040827989578247,33,79,87.0126959034024
0.0,1,8,GoalBias,1,4.373247146606445,135,145,122.47923612862996
0.0,1,8,RRT*,1,8.645646095275879,339,193,171.96947923880424
0.0,1,9,Hybrid,1,1.7249667644500732,52,73,102.57622002420379
0.0,1,9,GoalBias,1,8.070650100708008,223,229,151.77035739831103
0.0,2,0,RRT*,1,9.826928853988647,229,213,152.99749647013016
0.0,1,9,RRT*,1,19.45925807952881,460,469,135.02032270447737
0.0,2,0,GoalBias,1,13.05172610282898,371,363,116.78724453324726
0.0,1,6,RRT*,1,43.895041942596436,962,786,122.07161360948984
0.0,2,1,GoalBias,1,13.658793926239014,455,349,158.83420676560374
0.0,2,1,Hybrid,1,4.161953926086426,31,116,115.23587280812072
0.0,2,1,RRT*,1,18.679179191589355,479,467,213.42383690822834
0.0,2,2,GoalBias,1,7.531250953674316,163,230,140.53693415147217
0.0,2,3,RRT*,1,16.713278770446777,389,436,167.31042213155047
0.0,2,2,RRT*,1,25.167819023132324,636,607,138.82940270249742
0.0,2,3,GoalBias,1,4.678194046020508,180,175,124.26762303580969
0.0,2,3,Hybrid,1,7.147711992263794,439,200,126.41003991339751
0.0,2,4,RRT*,1,4.739055156707764,97,179,160.95437049342843
0.0,2,4,GoalBias,1,6.944759130477905,237,232,115.06477050891885
0.0,2,5,RRT*,1,12.832934856414795,374,407,122.71136663541502
0.0,2,2,Hybrid,1,54.91942024230957,387,407,187.46261435063423
0.0,2,5,GoalBias,1,5.448376893997192,159,177,134.59700208299276
0.0,2,6,RRT*,1,8.37692904472351,222,237,198.58341388190746
0.0,2,6,GoalBias,1,3.4157979488372803,67,126,119.92289689495136
0.0,2,5,Hybrid,1,24.64320993423462,171,243,148.23973062983072
0.0,2,7,RRT*,1,3.788222074508667,78,143,119.20926840591224
0.0,2,0,Hybrid,1,106.63864398002625,524,519,113.83955032070821
0.0,2,4,Hybrid,1,60.45529913902283,560,539,188.0515526130013
0.0,2,7,GoalBias,1,17.653223991394043,296,307,126.1816636295035
0.0,2,8,GoalBias,1,3.4256930351257324,77,130,117.3618769942527
0.0,2,8,RRT*,1,13.057085990905762,351,392,168.04961030703606
0.0,2,7,Hybrid,1,23.942252159118652,203,258,118.05050695439067
0.0,2,8,Hybrid,1,14.434836864471436,223,280,138.72428678683409
0.0,2,9,RRT*,1,13.911912202835083,435,354,187.22360305223472
0.0,2,9,GoalBias,1,13.605536937713623,552,326,128.53500876341465
0.0,2,6,Hybrid,1,63.409040212631226,302,373,171.75851764688525
0.0,3,0,GoalBias,1,9.163526058197021,355,294,147.89291577182627
0.0,2,9,Hybrid,1,13.000545024871826,384,289,148.77159751825258
0.0,3,0,Hybrid,1,3.831148147583008,55,108,137.48992995797178
0.0,3,1,Hybrid,1,4.5440592765808105,49,121,122.77574478374805
0.0,3,1,GoalBias,1,9.405135154724121,301,234,163.90841611965112
0.0,3,1,RRT*,1,15.061721801757812,438,403,164.1040729081197
0.0,3,2,GoalBias,1,5.553151845932007,152,186,116.64380167542478
0.0,3,0,RRT*,1,28.572739839553833,673,691,145.4379395179876
0.0,3,2,RRT*,1,11.249109029769897,376,327,165.7715250215165
