gap_width,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
2.5,4,9,RRT*,1,14.381879806518555,634,516,227.83410478299945
2.5,4,8,GoalBias,1,23.90767478942871,997,592,208.05992761794582
3.5,0,0,GoalBias,1,3.19696307182312,130,157,150.17853084718675
2.5,4,9,GoalBias,1,23.311471939086914,1022,572,152.70376502596326
3.5,0,0,RRT*,1,14.26674771308899,731,494,140.74721126225944
3.5,0,0,Hybrid,1,11.080955028533936,377,300,188.67179389634288
3.5,0,1,Hybrid,1,8.971549034118652,364,276,185.65142478976975
3.5,0,1,GoalBias,1,16.886528968811035,1259,500,189.93043155333982
2.5,4,9,Hybrid,1,32.05749034881592,615,479,198.96485455503094
3.5,0,2,Hybrid,1,1.879673957824707,95,122,104.59183207277934
3.5,0,1,RRT*,1,21.95472502708435,879,683,210.74769688553627
3.5,0,3,GoalBias,1,2.380491018295288,117,144,135.9681563203275
3.5,0,3,Hybrid,1,4.574074029922485,204,204,186.85169694686513
3.5,0,3,RRT*,1,8.82162618637085,380,363,123.75092981980279
3.5,0,2,RRT*,1,17.57277011871338,707,528,211.64976687842437
3.5,0,2,GoalBias,1,13.172417640686035,945,460,191.93979828111526
3.5,0,4,Hybrid,1,8.919585943222046,515,281,204.16360686209742
3.5,0,5,GoalBias,1,6.7103588581085205,391,277,177.80745392094553
3.5,0,4,RRT*,1,19.416581869125366,646,684,136.19646505828177
3.5,0,4,GoalBias,1,25.486382961273193,1298,643,190.73275037430278
3.5,0,5,Hybrid,1,9.93648099899292,419,324,195.64967845458148
3.5,0,5,RRT*,1,25.98111915588379,1086,724,162.1646383045682
3.5,0,6,Hybrid,1,5.472830295562744,220,229,154.83377436461555
3.5,0,6,GoalBias,1,6.708577871322632,364,271,188.41289073982531
3.5,0,6,RRT*,1,14.083673000335693,625,480,240.31203841413515
3.5,0,7,Hybrid,1,2.058886766433716,104,108,132.8556802039289
3.5,0,7,GoalBias,1,3.707754135131836,176,180,117.0229708818374
3.5,0,8,Hybrid,1,2.1533455848693848,117,129,136.75342907359055
3.5,0,8,GoalBias,1,3.242543935775757,129,175,124.80497157567711
3.5,0,7,RRT*,1,12.672676801681519,494,469,227.83730430351943
3.5,0,9,RRT*,1,8.343711137771606,398,376,162.1268768096335
3.5,0,8,RRT*,1,13.408658027648926,614,494,186.22575176683404
3.5,0,9,GoalBias,1,17.90686583518982,883,506,180.65298013470834
3.5,1,0,RRT*,1,14.249017000198364,612,525,150.3195255469837
3.5,1,0,Hybrid,1,8.166626930236816,177,197,119.29014387063081
3.5,0,9,Hybrid,1,24.611618041992188,579,424,189.92068246919075
3.5,1,0,GoalBias,1,18.743035078048706,877,557,216.94545479112344
