experiment,level,map_seed,planner_seed,method,variant,success,planning_time,first_solution_iteration,node_count,path_length,reverse_length,switch_count
sensitivity,rectangle_probability=0.55,0,8,Hybrid,rectangle_probability,1,2.450985908508301,144,142,161.6662333183559,0.0,0
sensitivity,rectangle_probability=0.55,0,10,Hybrid,rectangle_probability,1,1.428706169128418,77,90,177.15749003812607,0.0,0
sensitivity,rectangle_probability=0.55,0,5,Hybrid,rectangle_probability,1,3.0112709999084473,88,108,127.00618597173742,0.0,0
sensitivity,rectangle_probability=0.55,0,12,Hybrid,rectangle_probability,1,1.0615930557250977,42,73,121.94343706589372,0.0,0
sensitivity,rectangle_probability=0.55,0,16,Hybrid,rectangle_probability,1,0.7496120929718018,42,68,154.23792987654994,0.0,0
sensitivity,rectangle_probability=0.55,0,17,Hybrid,rectangle_probability,1,1.0423598289489746,52,87,116.6113433063868,0.0,0
sensitivity,rectangle_probability=0.55,0,14,Hybrid,rectangle_probability,1,1.952571153640747,70,110,152.1736934254495,0.0,0
sensitivity,rectangle_probability=0.55,0,6,Hybrid,rectangle_probability,1,4.968585968017578,226,197,123.1001092312661,0.0,0
sensitivity,rectangle_probability=0.55,0,18,Hybrid,rectangle_probability,1,1.5915560722351074,102,111,137.48163056801266,0.0,0
sensitivity,rectangle_probability=0.55,0,13,Hybrid,rectangle_probability,1,3.083141803741455,117,140,166.6786648135666,0.0,0
sensitivity,tangent_extension=2,0,1,Hybrid,tangent_extension,1,0.9005680084228516,35,82,144.17090488202325,0.0,0
sensitivity,rectangle_probability=0.55,0,19,Hybrid,rectangle_probability,1,1.517845869064331,81,104,160.39103151371415,0.0,0
sensitivity,rectangle_probability=0.55,0,15,Hybrid,rectangle_probability,1,3.2336719036102295,108,131,142.32314108381206,0.0,0
sensitivity,tangent_extension=2,0,0,Hybrid,tangent_extension,1,1.3206508159637451,92,105,121.01336652158231,0.0,0
sensitivity,tangent_extension=2,0,2,Hybrid,tangent_extension,1,1.2012598514556885,53,92,142.73055528995053,0.0,0
sensitivity,tangent_extension=2,0,7,Hybrid,tangent_extension,1,1.288154125213623,49,93,163.3246655737028,0.0,0
sensitivity,tangent_extension=2,0,5,Hybrid,tangent_extension,1,1.468045949935913,57,101,117.35756593154834,0.0,0
sensitivity,tangent_extension=2,0,4,Hybrid,tangent_extension,1,1.5589587688446045,59,105,105.25395413324492,0.0,0
sensitivity,tangent_extension=2,0,6,Hybrid,tangent_extension,1,1.4657270908355713,106,115,137.28506273282036,0.0,0
sensitivity,tangent_extension=2,0,3,Hybrid,tangent_extension,1,2.468931198120117,96,132,119.17199028229753,0.0,0
sensitivity,tangent_extension=2,0,9,Hybrid,tangent_extension,1,1.150313138961792,52,93,112.73854121738299,0.0,0
sensitivity,tangent_extension=2,0,8,Hybrid,tangent_extension,1,2.407457113265991,112,145,149.86306712605457,0.0,0
sensitivity,tangent_extension=2,0,11,Hybrid,tangent_extension,1,1.4936468601226807,91,116,139.9587023054848,0.0,0
sensitivity,tangent_extension=2,0,10,Hybrid,tangent_extension,1,1.767406702041626,81,122,166.25542201276318,0.0,0
sensitivity,tangent_extension=2,0,13,Hybrid,tangent_extension,1,1.6799018383026123,64,113,171.17334958538768,0.0,0
sensitivity,tangent_extension=2,0,14,Hybrid,tangent_extension,1,1.6040360927581787,50,104,114.78551702382927,0.0,0
sensitivity,tangent_extension=2,0,15,Hybrid,tangent_extension,1,1.4719748497009277,94,101,137.92871828127141,0.0,0
sensitivity,tangent_extension=2,0,17,Hybrid,tangent_extension,1,1.458122968673706,58,97,132.04326744814082,0.0,0
sensitivity,tangent_extension=2,0,16,Hybrid,tangent_extension,1,2.037799835205078,104,136,128.5131708333731,0.0,0
sensitivity,tangent_extension=2,0,19,Hybrid,tangent_extension,1,1.3243319988250732,49,93,118.53725835985252,0.0,0
sensitivity,tangent_extension=2,0,18,Hybrid,tangent_extension,1,1.6950509548187256,75,111,135.45296803228032,0.0,0
sensitivity,tangent_extension=4,0,0,Hybrid,tangent_extension,1,1.514991044998169,62,104,171.23955594576722,0.0,0
sensitivity,tangent_extension=4,0,2,Hybrid,tangent_extension,1,1.2295899391174316,51,97,125.64342792693313,0.0,0
sensitivity,tangent_extension=4,0,1,Hybrid,tangent_extension,1,1.7340309619903564,81,110,128.84798471466917,0.0,0
sensitivity,tangent_extension=4,0,3,Hybrid,tangent_extension,1,1.2115819454193115,45,94,132.79768890213444,0.0,0
sensitivity,tangent_extension=4,0,5,Hybrid,tangent_extension,1,1.6475822925567627,73,116,121.6166130666602,0.0,0
sensitivity,tangent_extension=4,0,4,Hybrid,tangent_extension,1,2.1812689304351807,108,139,152.06084505218035,0.0,0
sensitivity,tangent_extension=4,0,6,Hybrid,tangent_extension,1,1.888782024383545,61,118,130.58126458688125,0.0,0
sensitivity,tangent_extension=4,0,9,Hybrid,tangent_extension,1,1.347519874572754,61,94,141.77411886144677,0.0,0
sensitivity,tangent_extension=4,0,7,Hybrid,tangent_extension,1,2.5544869899749756,102,137,140.14998310211402,0.0,0
sensitivity,tangent_extension=4,0,10,Hybrid,tangent_extension,1,1.5681400299072266,58,104,155.62576213797198,0.0,0
sensitivity,tangent_extension=4,0,11,Hybrid,tangent_extension,1,1.4633510112762451,73,117,119.0690218157689,0.0,0
sensitivity,tangent_extension=4,0,13,Hybrid,tangent_extension,1,1.0488500595092773,51,97,136.54282737016345,0.0,0
sensitivity,tangent_extension=4,0,12,Hybrid,tangent_extension,1,1.2996618747711182,52,99,151.6579887901435,0.0,0
sensitivity,tangent_extension=4,0,17,Hybrid,tangent_extension,1,1.1621899604797363,63,89,121.27889949170768,0.0,0
sensitivity,tangent_extension=4,0,8,Hybrid,tangent_extension,1,4.730405330657959,168,201,178.8447692829768,0.0,0
sensitivity,tangent_extension=4,0,16,Hybrid,tangent_extension,1,2.1506638526916504,153,137,123.17326613986296,0.0,0
sensitivity,tangent_extension=4,0,15,Hybrid,tangent_extension,1,2.573744773864746,141,134,161.6169268527941,0.0,0
sensitivity,tangent_extension=4,0,18,Hybrid,tangent_extension,1,1.9849209785461426,155,116,109.54813778002878,0.0,0
sensitivity,tangent_extension=6,0,1,Hybrid,tangent_extension,1,1.4897778034210205,67,109,156.38116279550673,0.0,0
