success,path_length,travel_time,planning_ms,mean_curvature,max_curvature,smoothness,min_static_clearance,min_dynamic_clearance,scene,split,difficulty,method,footprint_collisions
0,1.5974999999999935,3.5,239.57199999858858,0.266528742257136,0.40558721647824947,0.01192903577877229,1.111773132870984,11.990014129731415,19,test,moderate,A*+DWA,0
0,6.019145932175365,14.8,326.97937499688123,0.21633235729387357,0.27336157330256305,0.004755859568822266,1.109958952033097,8.832106090910473,19,test,moderate,Hybrid A*+TEB,0
0,14.57999999999998,16.2,1.80079200072214,0.0,0.0,0.0,1.5999999999999996,4.815859217211404,19,test,moderate,Greedy+APF,0
0,1.5974999999999935,3.5,245.00783400071668,0.266528742257136,0.40558721647824947,0.01192903577877229,1.111773132870984,11.990014129731415,19,test,moderate,RCRA*+DWA,0
1,15.38999999999998,17.1,0.291959000605857,0.0,0.0,0.0,1.5999999999999996,4.815859217211404,19,test,moderate,A*+UA,0
1,15.38999999999998,17.1,1.8802500017045531,0.0,0.0,0.0,1.5999999999999996,4.815859217211404,19,test,moderate,RCRA*+UA (Ours),0
0,1.5974999999999935,3.5,244.0537080001377,0.266528742257136,0.40558721647824947,0.01192903577877229,1.169220890988531,8.237020097576998,20,test,hard,A*+DWA,0
0,43.23595537728454,180.0,282.7283749975322,0.3894308481292637,0.40558721647824947,0.0007702604662088892,0.026244918089670322,5.487363140760207,20,test,hard,Hybrid A*+TEB,1043
0,14.57999999999998,16.2,1.7061670005205087,0.0,0.0,0.0,1.2000000000000002,0.3905124837953375,20,test,hard,Greedy+APF,0
0,1.5974999999999935,3.5,243.26366600143956,0.266528742257136,0.40558721647824947,0.01192903577877229,1.169220890988531,8.237020097576998,20,test,hard,RCRA*+DWA,0
0,48.869999999999976,180.0,0.45725000018137507,0.3776467637875255,0.40558721647824947,0.00022545148220024986,0.007699979099761841,2.311825200503312,20,test,hard,A*+UA,1034
1,16.20813335281894,37.7,2.5883749985951,0.27532629748224685,0.40558721647824947,0.011990789196387526,1.03494876719066,2.9537956999580968,20,test,hard,RCRA*+UA (Ours),0
0,1.5974999999999935,3.5,248.72058300024946,0.266528742257136,0.40558721647824947,0.01192903577877229,1.169220890988531,8.11895342538652,21,test,simple,A*+DWA,0
0,5.958808530115382,18.0,311.6113750002114,0.27500123481804584,0.40558721647824947,0.01166356226084116,1.1685191805648212,8.598829583478993,21,test,simple,Hybrid A*+TEB,0
0,14.57999999999998,16.2,1.7582920008862857,0.0,0.0,0.0,1.5999999999999996,7.939773296511684,21,test,simple,Greedy+APF,0
0,1.5974999999999935,3.5,243.23620900031528,0.266528742257136,0.40558721647824947,0.01192903577877229,1.169220890988531,8.11895342538652,21,test,simple,RCRA*+DWA,0
1,15.38999999999998,17.1,0.29979100145283155,0.0,0.0,0.0,1.5999999999999996,7.939773296511684,21,test,simple,A*+UA,0
1,15.38999999999998,17.1,2.1033750017522834,0.0,0.0,0.0,1.5999999999999996,7.939773296511684,21,test,simple,RCRA*+UA (Ours),0
0,1.0799999999999985,2.1,238.5519999988901,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,12.01800732234758,22,test,moderate,A*+DWA,0
0,0.2699999999999993,0.30000000000000004,397.71962499798974,7.824388086247376e-16,1.2432035494856046e-15,6.216017747428023e-16,1.5811751664430078,11.912476406324851,22,test,moderate,Hybrid A*+TEB,0
0,14.57999999999998,16.2,1.7575000019860454,0.0,0.0,0.0,1.5999999999999996,8.420095011340441,22,test,moderate,Greedy+APF,0
0,1.0799999999999985,2.1,231.85975000160397,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,12.01800732234758,22,test,moderate,RCRA*+DWA,0
1,15.38999999999998,17.1,0.28258300153538585,0.0,0.0,0.0,1.5999999999999996,7.811561943683236,22,test,moderate,A*+UA,0
1,15.38999999999998,17.1,1.9986670013167895,0.0,0.0,0.0,1.5999999999999996,7.811561943683236,22,test,moderate,RCRA*+UA (Ours),0
0,0.6299999999999985,1.3,231.81750000003376,0.24959213321738463,0.40558721647824947,0.03379893470652107,0.8944271909999164,15.637962763376963,23,test,hard,A*+DWA,0
