density,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
20,2,7,RRT*,1,2.527642250061035,78,155,118.28367586965342
20,2,7,GoalBias,1,3.062314987182617,109,140,121.52659789171561
20,2,7,Hybrid,1,1.9688949584960938,73,102,157.6531242568862
20,2,8,RRT*,1,6.256350994110107,241,309,156.5498412669177
20,2,8,GoalBias,1,3.0295560359954834,130,179,108.67708655702839
20,2,8,Hybrid,1,7.784940004348755,389,260,116.16227860108907
20,2,9,RRT*,1,8.026649951934814,435,355,187.22360305223472
20,2,9,GoalBias,1,11.655128955841064,500,433,175.31206572428266
20,2,9,Hybrid,1,1.5798070430755615,113,99,156.8530464039181
20,3,0,RRT*,1,10.818859100341797,453,490,146.1928266752519
20,3,0,GoalBias,1,14.979847192764282,371,393,160.43741512858767
20,3,0,Hybrid,1,1.0450758934020996,34,68,114.45267783228203
20,3,1,RRT*,1,12.3176851272583,479,520,145.6199837289661
20,3,1,GoalBias,1,2.0861921310424805,58,118,110.92614895169567
20,3,1,Hybrid,1,1.0694537162780762,40,79,109.90760009721679
20,3,2,RRT*,1,7.337843894958496,322,375,135.91552006851444
20,3,2,GoalBias,1,33.64275312423706,765,791,126.65484974088612
20,3,2,Hybrid,1,1.5873761177062988,52,89,142.82730152139652
20,3,3,RRT*,1,19.83301591873169,737,763,142.0122818415005
20,3,3,GoalBias,1,2.1457769870758057,100,127,155.06282330739853
20,3,3,Hybrid,1,1.264786958694458,47,92,145.9552464799266
20,3,4,RRT*,1,5.710142135620117,248,279,157.14510191981972
20,3,4,GoalBias,1,10.927527904510498,433,389,139.31562084835534
20,3,4,Hybrid,1,1.1689269542694092,37,84,110.62232487469493
20,3,5,RRT*,1,4.606431007385254,209,244,127.20239758711875
20,3,5,GoalBias,1,1.928251028060913,43,116,108.6283431335848
20,3,5,Hybrid,1,1.4367051124572754,46,87,93.4193939416044
20,3,6,RRT*,1,13.727078199386597,592,557,145.05571318403156
20,3,6,GoalBias,1,2.078822135925293,50,116,108.20481837279895
20,3,6,Hybrid,1,1.4999780654907227,117,80,126.37893887270764
20,3,7,RRT*,1,10.564068794250488,459,479,150.97957953987984
20,3,7,GoalBias,1,49.96568012237549,812,784,178.76511266091873
20,3,7,Hybrid,1,6.05618691444397,254,226,146.38355400307447
20,3,8,RRT*,1,6.066437721252441,252,299,166.85941710128313
20,3,8,GoalBias,1,2.0012142658233643,75,135,108.59529378634541
20,3,8,Hybrid,1,1.285407304763794,45,90,107.34704646695863
20,3,9,RRT*,1,6.105341911315918,254,290,126.86152593540695
20,3,9,GoalBias,1,4.261768817901611,223,222,147.15714859844755
20,3,9,Hybrid,1,3.417285203933716,131,158,131.05798518168854
20,4,0,RRT*,1,20.438382148742676,864,784,144.53969207034095
20,4,0,GoalBias,1,10.181653022766113,559,444,209.50147569309556
20,4,0,Hybrid,1,5.090816974639893,61,169,127.7847678264432
20,4,1,RRT*,1,13.552553176879883,587,572,150.70451055413895
20,4,1,GoalBias,1,2.7661020755767822,115,145,113.40237712251674
20,4,1,Hybrid,1,4.384501218795776,44,148,119.77792285729247
20,4,2,RRT*,1,8.16731309890747,322,354,156.46722785643712
20,4,2,GoalBias,1,1.9392399787902832,47,112,153.7977269468975
20,4,2,Hybrid,1,6.26088285446167,164,177,122.30156679138126
20,4,3,RRT*,1,8.549862146377563,378,402,117.99118238668173
20,4,3,GoalBias,1,1.972203016281128,52,116,122.48770220346984
20,4,3,Hybrid,1,5.692155122756958,149,164,115.90073840623292
20,4,4,RRT*,1,7.249776124954224,328,329,115.81518458893517
20,4,4,GoalBias,1,6.227433919906616,366,298,156.27097259198413
20,4,4,Hybrid,1,4.962235927581787,73,185,123.4775510127872
20,4,5,RRT*,1,10.675323724746704,463,457,210.61612568857137
20,4,5,GoalBias,1,12.853400707244873,475,484,164.58831284014147
20,4,5,Hybrid,1,7.930998086929321,184,177,132.71304964560252
20,4,6,RRT*,1,13.890658140182495,637,563,180.77701057776775
20,4,6,GoalBias,1,7.938609838485718,381,346,182.02380686547522
20,4,6,Hybrid,1,5.549181938171387,49,171,112.90272872214153
20,4,7,RRT*,1,6.755875110626221,315,338,129.3650875226503
20,4,7,GoalBias,1,22.056484937667847,806,702,138.40732046260294
20,4,7,Hybrid,1,8.831676721572876,98,184,120.65330742258388
20,4,8,RRT*,1,3.1556878089904785,154,181,132.05262435939594
20,4,8,GoalBias,1,111.28229713439941,1147,1056,135.81336413749077
20,4,8,Hybrid,1,6.126666307449341,45,168,135.1267552751764
20,4,9,RRT*,1,8.88403606414795,371,397,149.8699225122912
20,4,9,GoalBias,1,2.0376479625701904,69,111,148.45487765379858
20,4,9,Hybrid,1,5.118274688720703,91,162,142.3260467451908
30,0,0,RRT*,1,14.22802996635437,502,440,145.6969950109954
30,0,0,GoalBias,1,8.968323945999146,431,262,142.3189363375558
30,0,0,Hybrid,1,2.890109062194824,84,116,116.31437647676513
30,0,1,RRT*,1,5.7591917514801025,205,211,172.7028623212601
30,0,1,GoalBias,1,5.572784900665283,309,186,152.88096536926963
30,0,1,Hybrid,1,1.685208797454834,38,84,135.14778389453994
30,0,2,RRT*,1,9.218683004379272,351,307,176.7111363292916
30,0,2,GoalBias,1,3.5183260440826416,98,155,147.3778204319594
30,0,2,Hybrid,1,13.653884887695312,540,231,180.2046707516152
30,0,3,RRT*,1,7.1049721240997314,290,238,135.71605355660623
30,0,3,GoalBias,1,5.95567774772644,261,219,170.10102120141863
30,0,3,Hybrid,1,5.919812202453613,151,164,154.76214970610587
30,0,4,RRT*,1,17.538033962249756,577,506,121.73926542443957
30,0,4,GoalBias,1,3.345102071762085,144,150,115.06677863898099
30,0,4,Hybrid,1,9.711484909057617,248,212,155.56193142191992
30,0,5,RRT*,1,9.337736129760742,378,285,182.6805122336695
30,0,5,GoalBias,1,4.1526899337768555,145,173,135.9445653239571
30,0,5,Hybrid,1,4.801513910293579,229,150,96.33323832283156
30,0,6,RRT*,1,13.516079187393188,450,409,182.20506791185295
30,0,6,GoalBias,1,3.147630214691162,85,128,115.2658516104781
30,0,6,Hybrid,1,5.048615217208862,256,173,130.14559560245965
30,0,7,RRT*,1,20.138628005981445,607,585,130.87326633735478
30,0,7,GoalBias,1,3.226086139678955,81,114,114.61709246862246
30,0,7,Hybrid,1,8.311352968215942,466,216,162.11060951874245
30,0,8,RRT*,1,4.220203876495361,131,159,153.1462246270815
30,0,8,GoalBias,1,3.8066139221191406,95,148,131.94443061705186
30,0,8,Hybrid,1,2.402730941772461,75,105,124.82707065882346
30,0,9,RRT*,1,17.81938099861145,576,559,185.94512979214875
30,0,9,GoalBias,1,2.290355920791626,70,107,121.60690791904683
30,0,9,Hybrid,1,2.941331148147583,117,136,150.17118330327554
30,1,0,RRT*,1,8.761608123779297,296,273,187.95098161865621
30,1,0,GoalBias,1,14.25098967552185,419,381,147.60176524142042
30,1,0,Hybrid,1,2.1882030963897705,100,98,152.55214368614887
30,1,1,RRT*,1,5.901866912841797,176,217,124.80352831126676
30,1,1,GoalBias,1,3.113095998764038,121,113,125.40643066984535
30,1,1,Hybrid,1,2.839871883392334,90,116,120.73322416415769
30,1,2,RRT*,1,10.876062870025635,401,330,146.296523242408
30,1,2,GoalBias,1,3.307783842086792,110,126,145.30612315737767
30,1,2,Hybrid,1,2.9848477840423584,91,121,147.92573356115034
30,1,3,RRT*,1,9.703884840011597,378,341,159.6680682146642
30,1,3,GoalBias,1,24.89011001586914,932,625,198.42526260433627
30,1,3,Hybrid,1,1.745478868484497,47,79,114.25381231728579
30,1,4,RRT*,1,13.21274995803833,404,383,144.57527405602283
