overlap,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
20,1,1,GoalBias,1,3.343402862548828,56,126,107.21406340509438
20,1,1,Hybrid,1,2.5860049724578857,68,88,86.32168523011565
20,0,9,GoalBias,1,37.24827599525452,987,808,127.63474690048578
20,1,1,RRT*,1,11.748449087142944,336,357,149.29002966823654
20,1,2,GoalBias,1,3.2178268432617188,61,108,121.07946605110357
20,1,2,Hybrid,1,4.675534963607788,161,159,119.26809092649222
20,1,3,GoalBias,1,4.204084873199463,163,143,146.43476060979634
20,1,2,RRT*,1,15.390361070632935,427,391,175.6255265253042
20,1,3,Hybrid,1,5.849677085876465,299,186,195.113632760374
20,1,3,RRT*,1,12.598791122436523,335,375,117.76983981266973
20,1,4,Hybrid,1,3.8293700218200684,141,133,155.08774178250172
20,1,5,RRT*,1,6.310441970825195,168,221,134.84964766549922
20,1,5,GoalBias,1,3.9212701320648193,108,126,138.3982987588744
20,1,4,RRT*,1,19.36796808242798,517,511,127.05110408362883
20,1,5,Hybrid,1,4.082937717437744,118,109,150.15887742397678
20,1,6,GoalBias,1,3.4516940116882324,55,123,153.7459809881358
20,1,6,Hybrid,1,4.673541069030762,154,134,133.62145178859552
20,1,7,RRT*,1,16.10255002975464,469,442,166.71556778195065
20,1,7,GoalBias,1,4.030092000961304,106,125,113.73270721665514
20,1,7,Hybrid,1,1.8287022113800049,59,77,147.0156960768676
20,1,6,RRT*,1,34.48508381843567,774,710,196.9651383254674
20,1,8,RRT*,1,4.927869081497192,136,152,144.22551686544114
20,1,8,Hybrid,1,2.6889030933380127,93,116,144.4117324517143
20,1,8,GoalBias,1,11.054194927215576,311,328,143.2966389666007
20,1,9,GoalBias,1,2.5066750049591064,48,110,148.2737670638802
20,1,9,RRT*,1,7.934336185455322,183,246,177.82198855347937
20,1,9,Hybrid,1,3.2996978759765625,92,116,166.2477574238884
20,0,8,GoalBias,0,,,,
20,2,0,Hybrid,1,7.335275888442993,121,139,107.89562429636979
20,2,0,RRT*,1,24.25522780418396,653,586,137.64902675870766
20,2,0,GoalBias,1,29.22262191772461,864,700,148.1847426277289
20,2,1,RRT*,1,12.324409246444702,328,305,175.94027816880083
20,2,1,GoalBias,1,12.097081661224365,405,353,135.5725197364603
20,2,1,Hybrid,1,7.832986116409302,156,187,138.9619097617963
20,2,2,GoalBias,1,4.963578224182129,197,189,111.3773872544944
20,2,2,Hybrid,1,4.31439208984375,113,144,116.3717025102086
20,2,3,GoalBias,1,4.7322070598602295,160,183,121.85655135766697
20,2,3,Hybrid,1,6.140559196472168,247,180,115.06597579065713
20,2,2,RRT*,1,18.45253896713257,524,543,170.89906831651084
20,2,3,RRT*,1,15.05507779121399,378,423,125.46873265801898
20,2,4,Hybrid,1,7.461219072341919,129,168,119.82233079899049
20,2,4,RRT*,1,13.11613917350769,350,330,179.08265804787368
20,2,4,GoalBias,1,13.259583950042725,433,367,152.41660262468292
20,2,5,RRT*,1,7.654040098190308,208,281,139.0539417820204
20,2,5,GoalBias,1,10.198226928710938,388,291,134.1065065078442
20,2,6,GoalBias,1,5.22304105758667,164,166,134.3794147498746
20,2,6,Hybrid,1,4.12098503112793,100,134,117.34150605951095
20,1,4,GoalBias,1,156.8764989376068,1395,1027,155.23669235970908
20,2,6,RRT*,1,20.703691005706787,478,518,136.046390610137
20,2,7,Hybrid,1,6.133341312408447,159,142,123.31916879697809
20,2,7,RRT*,1,14.100216150283813,409,346,158.6843305480171
20,2,7,GoalBias,1,12.098056077957153,479,320,138.4833872279331
20,2,8,GoalBias,1,3.435404062271118,103,143,121.76638303527044
20,2,8,RRT*,1,6.080840110778809,136,210,156.917298813134
20,2,9,GoalBias,1,2.940645933151245,65,123,98.81945930750436
20,2,8,Hybrid,1,4.652546167373657,254,165,157.58441291180839
20,2,9,RRT*,1,6.3752570152282715,181,249,134.55063140227315
20,3,0,RRT*,1,4.191503047943115,115,165,150.4704792267766
20,3,0,GoalBias,1,2.746182918548584,91,128,112.1940982592494
20,3,0,Hybrid,1,2.453559160232544,113,97,105.92572195494137
20,3,1,RRT*,1,4.848208904266357,146,178,129.01454569475018
20,3,1,Hybrid,1,1.974010944366455,45,90,145.9322258493218
20,2,9,Hybrid,1,14.65805697441101,520,307,150.5104410375398
20,3,1,GoalBias,1,10.228399276733398,321,213,133.38757010046274
20,3,2,GoalBias,1,4.3612940311431885,146,163,134.77884818850686
20,3,2,Hybrid,1,2.1711881160736084,71,100,107.79361111004329
20,3,3,GoalBias,1,3.2283382415771484,84,122,152.99893054423373
20,3,2,RRT*,1,12.209265947341919,448,393,110.49226725788297
20,3,3,Hybrid,1,2.327585220336914,57,94,115.50055655738568
20,3,4,GoalBias,1,4.9991419315338135,203,171,166.2829477458979
20,3,3,RRT*,1,12.329261064529419,407,381,121.99361510327142
20,3,4,Hybrid,1,3.334571123123169,77,109,134.5395885404764
20,2,5,Hybrid,1,76.13641476631165,748,627,145.93726614755576
20,3,5,RRT*,1,7.19167685508728,217,249,136.8745590280714
20,3,5,Hybrid,1,2.2846169471740723,52,97,157.50091044369242
20,3,6,GoalBias,1,2.971730947494507,50,121,119.70831521255089
20,3,4,RRT*,1,16.9216628074646,517,336,160.39021755661764
20,3,6,Hybrid,1,1.9251749515533447,50,88,120.9692534608812
20,3,6,RRT*,1,7.1944379806518555,220,244,147.15380614112664
20,3,7,RRT*,1,4.704084873199463,132,178,109.26215273724908
20,3,7,Hybrid,1,1.9339439868927002,74,90,158.07275405369782
20,3,5,GoalBias,1,16.24543786048889,620,411,148.36882467713878
20,3,8,GoalBias,1,3.464801073074341,117,129,110.5084100060443
20,3,8,RRT*,1,5.837033987045288,174,173,121.4939866539816
20,3,9,RRT*,1,4.691887855529785,137,182,125.48618986014668
20,3,9,Hybrid,1,2.6630849838256836,73,111,123.18465347883969
20,3,8,Hybrid,1,10.879000663757324,280,199,167.10130606134084
